Timestamp,Type,Confidence,Details
2026-02-03 19:57:53,SideChannelLeak,-0.0022,Abnormal signal pattern detected
2026-02-03 19:57:54,SideChannelLeak,-0.0093,Abnormal signal pattern detected
2026-02-03 19:57:54,SideChannelLeak,-0.0009,Abnormal signal pattern detected
2026-02-03 19:57:55,SideChannelLeak,-0.0057,Abnormal signal pattern detected
2026-02-03 19:57:56,SideChannelLeak,-0.0120,Abnormal signal pattern detected
2026-02-03 19:57:57,SideChannelLeak,-0.0137,Abnormal signal pattern detected
2026-02-03 19:57:57,SideChannelLeak,-0.0038,Abnormal signal pattern detected
2026-02-03 19:57:58,SideChannelLeak,-0.0088,Abnormal signal pattern detected
2026-02-03 19:57:59,SideChannelLeak,-0.0065,Abnormal signal pattern detected
2026-02-03 19:58:00,SideChannelLeak,-0.0035,Abnormal signal pattern detected
2026-02-03 19:58:01,SideChannelLeak,-0.0178,Abnormal signal pattern detected
2026-02-03 19:58:01,SideChannelLeak,-0.0178,Abnormal signal pattern detected
2026-02-03 19:58:12,SideChannelLeak,-0.0013,Abnormal signal pattern detected
2026-02-03 19:58:13,SideChannelLeak,-0.0097,Abnormal signal pattern detected
2026-02-03 19:58:14,SideChannelLeak,-0.0088,Abnormal signal pattern detected
2026-02-03 19:58:15,SideChannelLeak,-0.0036,Abnormal signal pattern detected
2026-02-03 19:58:15,SideChannelLeak,-0.0005,Abnormal signal pattern detected
2026-02-03 19:58:16,SideChannelLeak,-0.0022,Abnormal signal pattern detected
2026-02-03 19:58:17,SideChannelLeak,-0.0270,Abnormal signal pattern detected
2026-02-03 19:58:18,SideChannelLeak,-0.0282,Abnormal signal pattern detected
2026-02-03 19:58:19,SideChannelLeak,-0.0180,Abnormal signal pattern detected
2026-02-03 19:58:20,SideChannelLeak,-0.0094,Abnormal signal pattern detected
2026-02-03 19:58:20,SideChannelLeak,-0.0209,Abnormal signal pattern detected
2026-02-03 19:58:21,SideChannelLeak,-0.0310,Abnormal signal pattern detected
2026-02-03 19:58:22,SideChannelLeak,-0.0302,Abnormal signal pattern detected
2026-02-03 19:58:23,SideChannelLeak,-0.0291,Abnormal signal pattern detected
2026-02-03 19:58:24,SideChannelLeak,-0.0367,Abnormal signal pattern detected
2026-02-03 19:58:25,SideChannelLeak,-0.0426,Abnormal signal pattern detected
2026-02-03 19:58:26,SideChannelLeak,-0.0438,Abnormal signal pattern detected
2026-02-03 19:58:27,SideChannelLeak,-0.0458,Abnormal signal pattern detected
2026-02-03 19:58:27,SideChannelLeak,-0.0512,Abnormal signal pattern detected
2026-02-03 19:58:28,SideChannelLeak,-0.0484,Abnormal signal pattern detected
2026-02-03 19:58:29,SideChannelLeak,-0.0459,Abnormal signal pattern detected
2026-02-03 19:58:30,SideChannelLeak,-0.0429,Abnormal signal pattern detected
2026-02-03 19:58:31,SideChannelLeak,-0.0516,Abnormal signal pattern detected
2026-02-03 19:58:32,SideChannelLeak,-0.0574,Abnormal signal pattern detected
